parameter,value
max df,0.010124569382602184
max df std,9.619230263816178e-05
max df stderr,9.619230263816178e-06
time of max df,277.3466666666667
time of max df std,54.389774774308464
time of max df stderr,5.438977477430846
inverse max df,68.46800744448902
inverse max df std,0.6437107732677131
inverse max df stderr,0.0643710773267713
max y,0.12737378583410455
max y std,0.001961333916163372
max y stderr,0.0001961333916163372
lag time,14.754562415064877
lag time std,3.532555507738004
lag time stderr,0.3532555507738004
doubling time,68.46189248809264
