parameter,value
max df,0.011522317163518932
max df std,0.0002247342040779989
max df stderr,2.2473420407799888e-05
time of max df,224.4266666666667
time of max df std,18.896888632788205
time of max df stderr,1.8896888632788205
inverse max df,60.17979324012309
inverse max df std,1.1728079838095369
inverse max df stderr,0.11728079838095369
max y,0.13916638121105288
max y std,0.0066080195096504145
max y stderr,0.0006608019509650414
lag time,41.49453667691877
lag time std,6.607905270140013
lag time stderr,0.6607905270140013
doubling time,60.156925965771386
