parameter,value
max df,0.028558674321450383
max df std,0.00026058428904622636
max df stderr,2.6058428904622637e-05
time of max df,145.53666666666666
time of max df std,2.003272322975586
time of max df stderr,0.2003272322975586
inverse max df,24.27299926162942
inverse max df std,0.2206783915126469
inverse max df stderr,0.02206783915126469
max y,0.7630330898130129
max y std,0.01254026326297617
max y stderr,0.001254026326297617
lag time,74.94591781317949
lag time std,1.0032624541816284
lag time stderr,0.10032624541816285
doubling time,24.270985857327535
