,parameter,value
0,max df,0.010611373513606947
1,max df std,7.93167346957469e-05
2,max df stderr,7.93167346957469e-06
3,time of max df,283.9266666666667
4,time of max df std,11.708219335150847
5,time of max df stderr,1.1708219335150847
6,inverse max df,65.32479455793458
7,inverse max df std,0.4868653861731705
8,inverse max df stderr,0.048686538617317046
9,max y,0.12826561251725235
10,max y std,0.0007988978038799718
11,max y stderr,7.988978038799718e-05
12,lag time,231.2498795135879
13,lag time std,0.6589820771953836
14,lag time stderr,0.06589820771953836
