shutter,position,frame,mean_intensity,total_intensity
on,2,37,3146.269503761574,17397611848
on,2,23,3155.4394607204863,17448318042
on,1,85,3062.3752249710647,16933710044
on,1,91,3061.9206530309607,16931196443
on,1,46,3073.394839952257,16994644107
on,1,52,3071.3727944155094,16983463004
on,0,9,3180.102773618345,17584696297
on,0,59,3147.5722486255786,17404815506
on,0,65,3142.243878580729,17375351751
on,0,71,3139.4418936270254,17359857895
on,0,70,3139.0148978226275,17357496779
on,0,64,3143.3208251953124,17381306835
on,0,58,3146.596456705729,17399419767
on,0,8,3181.2492116970484,17591035641
on,1,53,3071.36663104022,16983428923
on,1,47,3072.35016583478,16988867477
on,1,90,3062.2045401114005,16932766225
on,1,84,3062.899923321759,16936611416
on,2,22,3156.2301880787036,17452690448
on,2,36,3146.9037749565973,17401119114
on,2,20,3158.187648654514,17463514422
on,2,34,3148.2217525679976,17408407003
on,1,92,3061.3617487702545,16928105926
on,1,86,3064.380374891493,16944797721
on,1,79,3064.441117440683,16945133603
on,1,51,3071.3926379846644,16983572731
on,1,45,3073.5789787688077,16995662321
on,0,99,3125.2031615306714,17281123402
on,0,72,3138.4069321469906,17354134972
on,0,66,3141.2547779224537,17369882420
on,0,67,3140.9590243417247,17368247021
on,0,73,3137.427201786748,17348717455
on,0,98,3125.5061501736113,17282798808
on,1,44,3073.719587673611,16996439832
on,1,50,3072.178687789352,16987919272
on,1,78,3064.602943974248,16946028439
on,1,87,3063.8186682581018,16941691708
on,1,93,3060.8599873408566,16925331386
on,2,35,3147.4380320457176,17404073342
on,2,21,3157.1496831597224,17457774888
on,2,19,3158.7678539134836,17466722725
on,1,97,3059.550563151042,16918090794
on,1,83,3062.3008720341436,16933298902
on,2,25,3153.7378381799767,17438908750
on,2,31,3150.7315247034144,17422285039
on,1,54,3070.607683919271,16979232249
on,1,40,3073.9117822265625,16997502591
on,1,68,3067.7883754701966,16963642601
on,0,88,3129.2971298104744,17303761409
on,0,77,3135.4818165870947,17337960253
on,0,63,3143.8149097583914,17384038925
on,0,62,3144.7789899811924,17389369903
on,0,76,3136.20723687066,17341971537
on,0,89,3128.421888020833,17298921672
on,1,69,3067.105212492766,16959864983
on,1,41,3074.675638382523,17001726410
on,1,55,3069.6369739221645,16973864611
on,2,30,3150.9633331524883,17423566847
on,2,24,3154.7116984953705,17444293808
on,1,82,3063.402535264757,16939390659
on,1,96,3059.9525768590856,16920313769
