,parameter,value
0,max df,0.011869370825908736
1,max df std,9.476578601022585e-05
2,max df stderr,9.476578601022585e-06
3,time of max df,427.8466666666668
4,time of max df std,3.446389415025528
5,time of max df stderr,0.3446389415025528
6,inverse max df,58.401693698134274
7,inverse max df std,0.4662286787570619
8,inverse max df stderr,0.04662286787570619
9,max y,0.2034450128785014
10,max y std,0.002799536168593633
11,max y stderr,0.0002799536168593633
12,lag time,328.30658566409875
13,lag time std,1.696415174855704
14,lag time stderr,0.16964151748557038
