,parameter,value
0,max df,0.02730975895498316
1,max df std,0.00023309793494318234
2,max df stderr,2.3309793494318236e-05
3,time of max df,140.14666666666665
4,time of max df std,2.4289092202056457
5,time of max df stderr,0.24289092202056456
6,inverse max df,25.382783553865266
7,inverse max df std,0.21674292124469294
8,inverse max df stderr,0.021674292124469294
9,max y,0.27921088761178603
10,max y std,0.005766411052653605
11,max y stderr,0.0005766411052653606
12,lag time,78.51882100661827
13,lag time std,0.9778663672834351
14,lag time stderr,0.0977866367283435
