,parameter,value
0,max df,0.0032402551264923774
1,max df std,7.098424085657654e-05
2,max df stderr,7.098424085657654e-06
3,time of max df,1236.6266666666668
4,time of max df std,63.48486748824479
5,time of max df stderr,6.348486748824479
6,inverse max df,214.01761945887083
7,inverse max df std,4.5733639800406145
8,inverse max df stderr,0.45733639800406145
9,max y,0.10264039841144326
10,max y std,0.001205153780207635
11,max y stderr,0.0001205153780207635
12,lag time,781.5735014151344
13,lag time std,9.994228538771422
14,lag time stderr,0.9994228538771421
