parameter,value,well_id,carbon,strain
max df,0.011648989887826972,15,glucose,delta
lag time stderr,0.11199561551052381,15,glucose,delta
lag time std,1.1199561551052382,15,glucose,delta
lag time,302.34060661173135,15,glucose,delta
max y stderr,0.0002358438189171025,15,glucose,delta
max y,0.25664545501210423,15,glucose,delta
inverse max df stderr,0.032276799477193044,15,glucose,delta
max y std,0.002358438189171025,15,glucose,delta
inverse max df,59.504520103945126,15,glucose,delta
time of max df stderr,1.389178174317463,15,glucose,delta
time of max df std,13.89178174317463,15,glucose,delta
time of max df,404.8866666666667,15,glucose,delta
max df stderr,6.311928033945443e-06,15,glucose,delta
max df std,6.311928033945443e-05,15,glucose,delta
inverse max df std,0.3227679947719304,15,glucose,delta
time of max df stderr,0.4935372326380249,16,glucose,delta
max df,0.011382610028471726,16,glucose,delta
max df std,7.527450521997467e-05,16,glucose,delta
max df stderr,7.527450521997468e-06,16,glucose,delta
time of max df,438.5566666666668,16,glucose,delta
time of max df std,4.935372326380249,16,glucose,delta
inverse max df,60.89794558725849,16,glucose,delta
max y stderr,0.00029584745698582073,16,glucose,delta
inverse max df stderr,0.040368060449960705,16,glucose,delta
max y,0.2531765521414448,16,glucose,delta
max y std,0.002958474569858207,16,glucose,delta
lag time,308.9176586985495,16,glucose,delta
lag time std,1.481284839704897,16,glucose,delta
lag time stderr,0.1481284839704897,16,glucose,delta
inverse max df std,0.403680604499607,16,glucose,delta
inverse max df,60.87169109629401,17,glucose,delta
max df std,7.727152751995053e-05,17,glucose,delta
max df stderr,7.727152751995053e-06,17,glucose,delta
time of max df,410.0666666666667,17,glucose,delta
time of max df std,16.988525539316235,17,glucose,delta
time of max df stderr,1.6988525539316235,17,glucose,delta
inverse max df std,0.4129589956489723,17,glucose,delta
max df,0.011387544466075714,17,glucose,delta
max y,0.26098807884005654,17,glucose,delta
max y std,0.003062537102034628,17,glucose,delta
max y stderr,0.0003062537102034628,17,glucose,delta
lag time,302.6819634306207,17,glucose,delta
lag time std,1.3615685296044917,17,glucose,delta
lag time stderr,0.13615685296044916,17,glucose,delta
inverse max df stderr,0.04129589956489723,17,glucose,delta
max df,0.01080672910108401,18,glucose,delta
max df std,0.00011419077590419243,18,glucose,delta
max df stderr,1.1419077590419243e-05,18,glucose,delta
time of max df,455.07666666666677,18,glucose,delta
time of max df std,7.835936446909201,18,glucose,delta
time of max df stderr,0.7835936446909202,18,glucose,delta
inverse max df,64.14747460916979,18,glucose,delta
inverse max df std,0.6761428160902732,18,glucose,delta
inverse max df stderr,0.06761428160902731,18,glucose,delta
max y,0.26097919595137375,18,glucose,delta
max y std,0.0034063466040413107,18,glucose,delta
max y stderr,0.00034063466040413104,18,glucose,delta
lag time,314.20573379248884,18,glucose,delta
lag time std,2.7888132263051983,18,glucose,delta
lag time stderr,0.27888132263051985,18,glucose,delta
max df std,0.00033972910554011185,19,glucose,delta
max df stderr,3.3972910554011185e-05,19,glucose,delta
time of max df,312.8366666666667,19,glucose,delta
max df,0.012013565522544442,19,glucose,delta
time of max df std,16.49669966993399,19,glucose,delta
time of max df stderr,1.649669966993399,19,glucose,delta
inverse max df,57.74202963657536,19,glucose,delta
max y stderr,0.00020054847534886708,19,glucose,delta
inverse max df stderr,0.15917188433347768,19,glucose,delta
max y,0.2480789783962719,19,glucose,delta
max y std,0.002005484753488671,19,glucose,delta
lag time,300.25697209822835,19,glucose,delta
lag time std,0.1965654274462692,19,glucose,delta
lag time stderr,0.01965654274462692,19,glucose,delta
inverse max df std,1.5917188433347766,19,glucose,delta
max df stderr,6.9994890966572e-06,20,glucose,delta
time of max df,433.3766666666668,20,glucose,delta
time of max df std,7.169790791926917,20,glucose,delta
time of max df stderr,0.7169790791926917,20,glucose,delta
inverse max df,60.90020652868871,20,glucose,delta
inverse max df std,0.37463538015593784,20,glucose,delta
max y std,0.0025451050296302355,20,glucose,delta
max y,0.2492367576546847,20,glucose,delta
max y stderr,0.00025451050296302355,20,glucose,delta
lag time,307.2323502419087,20,glucose,delta
lag time std,1.7079618961168983,20,glucose,delta
max df std,6.9994890966572e-05,20,glucose,delta
inverse max df stderr,0.03746353801559378,20,glucose,delta
max df,0.011382119070306682,20,glucose,delta
lag time stderr,0.17079618961168982,20,glucose,delta
max df,0.011213438831577733,21,glucose,delta
lag time std,1.371531458232344,21,glucose,delta
lag time,309.6605932365383,21,glucose,delta
max y stderr,0.00019242424757414062,21,glucose,delta
max y std,0.0019242424757414062,21,glucose,delta
max y,0.2435039831420805,21,glucose,delta
inverse max df stderr,0.0342108446617968,21,glucose,delta
lag time stderr,0.1371531458232344,21,glucose,delta
inverse max df,61.81586111294776,21,glucose,delta
