,parameter,value
0,max df,0.007646246737487874
1,max df std,6.486231734596731e-05
2,max df stderr,6.486231734596731e-06
3,time of max df,643.6566666666666
4,time of max df std,4.563978527556851
5,time of max df stderr,0.4563978527556851
6,inverse max df,90.65846405226823
7,inverse max df std,0.7678843309973944
8,inverse max df stderr,0.07678843309973944
9,max y,0.35526628703815744
10,max y std,0.0015877228540659544
11,max y stderr,0.00015877228540659544
12,lag time,456.7733787854098
13,lag time std,1.7752018197388697
14,lag time stderr,0.17752018197388697
