,parameter,value
0,max df,0.003529808726741759
1,max df std,2.83641895653564e-05
2,max df stderr,2.83641895653564e-06
3,time of max df,1138.2766666666666
4,time of max df std,9.742581793344103
5,time of max df stderr,0.9742581793344103
6,inverse max df,196.38232893436293
7,inverse max df std,1.5822709646762674
8,inverse max df stderr,0.15822709646762673
9,max y,0.12249647314351444
10,max y std,0.0009628533914931618
11,max y stderr,9.628533914931618e-05
12,lag time,845.6973059567634
13,lag time std,3.9771205279040434
14,lag time stderr,0.39771205279040434
