carbon,temperature,operator,od_600nm,sample,clock_time,growth_time
20180908,glucose,37,O2,0.04,2,12h55m,0
20180908,glucose,37,O2,0.01,1,14h27m,93
20180908,glucose,37,O2,0.07,2,14h27m,92
20180908,glucose,37,O2,0.05,1,15h01m,126
20180908,glucose,37,O2,0.08,2,15h02m,126
20180908,glucose,37,O2,0.07,1,15h20m,145
20180908,glucose,37,O2,0.1,2,15h20m,144
20180908,glucose,37,O2,0.1,1,15h54m,179
20180908,glucose,37,O2,0.16,2,15h54m,178
20180908,glucose,37,O2,0.14,1,16h17m,202
20180908,glucose,37,O2,0.19,2,16h17m,201
20180908,glucose,37,O2,0.17,1,16h38m,223
20180908,glucose,37,O2,0.21,2,16h39m,223
20180908,glucose,37,O2,0.2,1,16h59m,243
20180908,glucose,37,O2,0.27,2,16h59m,242
20180908,glucose,37,O2,0.25,1,17h17m,261
20180908,glucose,37,O2,0.29,2,17h18m,261
20180908,glucose,37,O2,0.31,1,17h44m,288
20180908,glucose,37,O2,0.37,2,17h44m,287
20180908,glucose,37,O2,0.38,1,18h11m,315
20180908,glucose,37,O2,0.44,2,18h11m,314
20180908,glucose,37,O2,0.42,1,18h27m,331
20180908,glucose,37,O2,0.5,2,18h28m,331
20180908,glucose,37,O2,0.47,1,18h41m,345
20180908,glucose,37,O2,0.53,2,18h41m,344
