,parameter,value
0,max df,0.00423459786379682
1,max df std,1.0204702717846555e-05
2,max df stderr,1.0204702717846554e-06
3,time of max df,1159.3466666666668
4,time of max df std,4.384928733742432
5,time of max df stderr,0.43849287337424314
6,inverse max df,163.68761020918006
7,inverse max df std,0.3943254711543083
8,inverse max df stderr,0.03943254711543083
9,max y,0.20632294979966595
10,max y std,0.0006761761950356293
11,max y stderr,6.761761950356292e-05
12,lag time,927.326966419477
13,lag time std,1.0360199404315946
14,lag time stderr,0.10360199404315946
