parameter,value
max df,0.010164583096329893
max df std,5.9608974956425985e-05
max df stderr,5.960897495642599e-06
time of max df,207.1366666666667
time of max df std,28.900676462671253
time of max df stderr,2.8900676462671253
inverse max df,68.19473240125048
inverse max df std,0.40001293910963315
inverse max df stderr,0.04000129391096331
max y,0.137305098289717
max y std,0.0017407046890514802
max y stderr,0.00017407046890514802
lag time,10.692877035509008
lag time std,1.9217291281946267
lag time stderr,0.19217291281946267
doubling time,68.19238664202751
