parameter,value
max df,0.006295365997929552
max df std,6.649441298725078e-05
max df stderr,6.649441298725078e-06
time of max df,446.25666666666655
time of max df std,11.444732412774009
time of max df stderr,1.1444732412774008
inverse max df,110.1166838274729
inverse max df std,1.1679019240676896
inverse max df stderr,0.11679019240676895
max y,0.30386502235528084
max y std,0.0028600859808386673
max y stderr,0.00028600859808386675
lag time,120.86560396801013
lag time std,3.6815831597314954
lag time stderr,0.3681583159731495
doubling time,110.10434989608397
