time_min,temp_C,well_id,od_600nm,strain,carbon,date,run_number
1343.1666666666667,32.0,1,0.08,blank,blank,20190315,1
6.166666666666667,32.1,2,0.08,blank,blank,20190315,1
13.166666666666666,32.0,2,0.08,blank,blank,20190315,1
20.166666666666668,32.1,2,0.08,blank,blank,20190315,1
27.166666666666668,32.1,2,0.08,blank,blank,20190315,1
34.166666666666664,32.0,2,0.08,blank,blank,20190315,1
41.166666666666664,32.0,2,0.08,blank,blank,20190315,1
48.166666666666664,32.0,2,0.08,blank,blank,20190315,1
55.166666666666664,32.1,2,0.08,blank,blank,20190315,1
62.166666666666664,32.1,2,0.08,blank,blank,20190315,1
69.16666666666667,32.1,2,0.08,blank,blank,20190315,1
76.16666666666667,32.1,2,0.08,blank,blank,20190315,1
83.16666666666667,32.1,2,0.08,blank,blank,20190315,1
90.16666666666667,32.1,2,0.08,blank,blank,20190315,1
97.16666666666667,32.1,2,0.08,blank,blank,20190315,1
104.16666666666667,32.0,2,0.08,blank,blank,20190315,1
111.16666666666667,32.0,2,0.08,blank,blank,20190315,1
118.16666666666667,32.0,2,0.08,blank,blank,20190315,1
125.16666666666667,32.1,2,0.08,blank,blank,20190315,1
132.16666666666666,32.0,2,0.08,blank,blank,20190315,1
139.16666666666666,32.1,2,0.08,blank,blank,20190315,1
146.16666666666666,32.1,2,0.08,blank,blank,20190315,1
153.16666666666666,32.1,2,0.08,blank,blank,20190315,1
160.16666666666666,32.1,2,0.08,blank,blank,20190315,1
167.16666666666666,32.1,2,0.08,blank,blank,20190315,1
174.16666666666666,32.1,2,0.08,blank,blank,20190315,1
181.16666666666666,32.0,2,0.08,blank,blank,20190315,1
188.16666666666666,32.0,2,0.08,blank,blank,20190315,1
195.16666666666666,32.1,2,0.08,blank,blank,20190315,1
202.16666666666666,32.1,2,0.08,blank,blank,20190315,1
209.16666666666666,32.0,2,0.08,blank,blank,20190315,1
216.16666666666666,32.1,2,0.08,blank,blank,20190315,1
223.16666666666666,32.0,2,0.08,blank,blank,20190315,1
230.16666666666666,32.0,2,0.08,blank,blank,20190315,1
237.16666666666666,32.1,2,0.08,blank,blank,20190315,1
244.16666666666666,32.1,2,0.08,blank,blank,20190315,1
251.16666666666666,32.0,2,0.079,blank,blank,20190315,1
258.1666666666667,32.0,2,0.079,blank,blank,20190315,1
265.1666666666667,32.0,2,0.08,blank,blank,20190315,1
272.1666666666667,32.0,2,0.08,blank,blank,20190315,1
279.1666666666667,32.1,2,0.08,blank,blank,20190315,1
