date,clock_time,elapsed_time_min,absorbance,atc_ngmL,iptg_mM,run_number,carbon,temp
20180221,08h32m,41,0,0,0,1,glucose,37
20180221,08h32m,41,0,0,0,1,glucose,37
20180221,08h33m,42,0.01,0,0,1,glucose,37
20180221,09h49m,117,0.01,0,0,1,glucose,37
20180221,09h50m,118,0.01,0,0,1,glucose,37
20180221,09h51m,119,0.01,0,0,1,glucose,37
20180221,10h51m,179,0.02,0,0,1,glucose,37
20180221,10h51m,179,0.02,0,0,1,glucose,37
20180221,10h52m,180,0.03,0,0,1,glucose,37
20180221,11h45m,233,0.04,0,0,1,glucose,37
20180221,11h45m,233,0.05,0,0,1,glucose,37
20180221,11h46m,234,0.04,0,0,1,glucose,37
20180221,12h58m,307,0.11,0,0,1,glucose,37
20180221,12h58m,307,0.11,0,0,1,glucose,37
20180221,12h59m,308,0.11,0,0,1,glucose,37
20180221,13h27m,336,0.16,0,0,1,glucose,37
20180221,13h27m,336,0.15,0,0,1,glucose,37
20180221,13h28m,337,0.14,0,0,1,glucose,37
20180221,13h50m,359,0.21,0,0,1,glucose,37
20180221,13h50m,358,0.21,0,0,1,glucose,37
20180221,13h51m,359,0.19,0,0,1,glucose,37
20180221,14h18m,394,0.25,0,0,1,glucose,37
20180221,14h18m,394,0.23,0,0,1,glucose,37
20180221,14h18m,394,0.23,0,0,1,glucose,37
20180221,15h00m,436,0.44,0,0,1,glucose,37
20180221,15h00m,436,0.32,0,0,1,glucose,37
20180221,15h00m,436,0.32,0,0,1,glucose,37
20180221,15h30m,464,0.43,0,0,1,glucose,37
20180221,15h30m,464,0.37,0,0,1,glucose,37
20180221,15h30m,464,0.36,0,0,1,glucose,37
20180221,16h08m,502,0.51,0,0,1,glucose,37
20180221,16h09m,503,0.42,0,0,1,glucose,37
20180221,16h09m,503,0.42,0,0,1,glucose,37
20180221,16h43m,537,0.56,0,0,1,glucose,37
20180221,16h43m,537,0.51,0,0,1,glucose,37
20180221,16h44m,538,0.49,0,0,1,glucose,37
20180221,17h22m,576,0.71,0,0,1,glucose,37
20180221,17h22m,576,0.56,0,0,1,glucose,37
20180221,17h23m,577,0.54,0,0,1,glucose,37
20180221,17h55m,609,0.64,0,0,1,glucose,37
20180221,17h56m,610,0.59,0,0,1,glucose,37
20180221,17h56m,610,0.59,0,0,1,glucose,37
20180221,18h27m,641,0.64,0,0,1,glucose,37
20180221,18h28m,642,0.63,0,0,1,glucose,37
20180221,18h29m,643,0.64,0,0,1,glucose,37
20180221,19h13m,687,0.66,0,0,1,glucose,37
20180221,19h13m,687,0.64,0,0,1,glucose,37
20180221,19h14m,688,0.67,0,0,1,glucose,37
20180221,19h40m,714,0.76,0,0,1,glucose,37
20180221,19h40m,714,0.7,0,0,1,glucose,37
20180221,19h41m,715,0.79,0,0,1,glucose,37
