,parameter,value
0,max df,0.007411361440857644
1,max df std,5.642463330364984e-05
2,max df stderr,5.6424633303649835e-06
3,time of max df,514.8566666666667
4,time of max df std,7.671629553100128
5,time of max df stderr,0.7671629553100128
6,inverse max df,93.5303695895168
7,inverse max df std,0.7123938898465207
8,inverse max df stderr,0.07123938898465207
9,max y,0.25332898959339484
10,max y std,0.0024269921986480366
11,max y stderr,0.00024269921986480367
12,lag time,269.60362825333607
13,lag time std,1.9055212784765263
14,lag time stderr,0.19055212784765263
