clock_time,elapsed_time_min,OD_600,run_number,carbon,temperature,operator,date,,,,,
9h50m,32,0.07,2,acetate,37,O2,20180927,,,,,
9h50m,32,0.07,2,acetate,37,O2,20180927,,,,,
9h50m,32,0.07,2,acetate,37,O2,20180927,,,,,
10h19m,61,0.1,2,acetate,37,O2,20180927,,,,,
10h19m,61,0.1,2,acetate,37,O2,20180927,,,,,
10h19m,61,0.1,2,acetate,37,O2,20180927,,,,,
10h49m,91,0.1,2,acetate,37,O2,20180927,,,,,
10h49m,91,0.1,2,acetate,37,O2,20180927,,,,,
10h49m,91,0.1,2,acetate,37,O2,20180927,,,,,
11h23m,125,0.11,2,acetate,37,O2,20180927,,,,,
11h23m,125,0.11,2,acetate,37,O2,20180927,,,,,
11h23m,125,0.11,2,acetate,37,O2,20180927,,,,,
12h00m,162,0.11,2,acetate,37,O2,20180927,,,,,
12h00m,162,0.11,2,acetate,37,O2,20180927,,,,,
12h00m,162,0.11,2,acetate,37,O2,20180927,,,,,
13h00m,222,0.14,2,acetate,37,O2,20180927,,,,,
13h00m,222,0.14,2,acetate,37,O2,20180927,,,,,
13h00m,222,0.14,2,acetate,37,O2,20180927,,,,,   
14h00m,282,0.1,2,acetate,37,O2,20180927,,,,,
14h00m,282,0.1,2,acetate,37,O2,20180927,,,,,
14h00m,282,0.1,2,acetate,37,O2,20180927,,,,,
15h01m,343,0.11,2,acetate,37,O2,20180927,,,,,
15h01m,343,0.11,2,acetate,37,O2,20180927,,,,,
15h01m,343,0.11,2,acetate,37,O2,20180927,,,,,
15h57m,399,0.11,2,acetate,37,O2,20180927,,,,,
15h57m,399,0.11,2,acetate,37,O2,20180927,,,,,
15h57m,399,0.11,2,acetate,37,O2,20180927,,,,,
16h32m,1874,0.28,2,acetate,37,O2,20180928,,,,,
16h32m,1874,0.28,2,acetate,37,O2,20180928,,,,,
16h32m,1874,0.28,2,acetate,37,O2,20180928,,,,,
18h30m,1992,0.31,2,acetate,37,O2,20180928,,,,,
18h30m,1992,0.31,2,acetate,37,O2,20180928,,,,,
18h30m,1992,0.31,2,acetate,37,O2,20180928,,,,,
19h32m,2054,0.32,2,acetate,37,O2,20180928,,,,,
19h32m,2054,0.32,2,acetate,37,O2,20180928,,,,,
19h32m,2054,0.32,2,acetate,37,O2,20180928,,,,,
20h51m,2133,0.38,2,acetate,37,O2,20180928,,,,,
20h51m,2133,0.38,2,acetate,37,O2,20180928,,,,,
20h51m,2133,0.38,2,acetate,37,O2,20180928,,,,,
11h49m,3031,0.42,2,acetate,37,O2,20180929,,,,,
11h50m,3032,0.42,2,acetate,37,O2,20180929,,,,,
11h50m,3032,0.42,2,acetate,37,O2,20180929,,,,,
13h39m,3140,0.44,2,acetate,37,O2,20180929,,,,,
13h39m,3140,0.44,2,acetate,37,O2,20180929,,,,,
13h39m,3140,0.44,2,acetate,37,O2,20180929,,,,,
23h51m,3752,0.45,2,acetate,37,O2,20180929,,,,,
23h51m,3752,0.45,2,acetate,37,O2,20180929,,,,,
23h51m,3752,0.45,2,acetate,37,O2,20180929,,,,,
12h07m,4488,0.47,2,acetate,37,O2,20180930,,,,,
12h07m,4488,0.47,2,acetate,37,O2,20180930,,,,,
12h07m,4488,0.47,2,acetate,37,O2,20180930,,,,,
15h33m,4694,0.5,2,acetate,37,O2,20180930,,,,,
15h33m,4694,0.5,2,acetate,37,O2,20180930,,,,,
15h33m,4694,0.51,2,acetate,37,O2,20180930,,,,,
17h51m,4832,0.57,2,acetate,37,O2,20180930,,,,,
17h51m,4832,0.57,2,acetate,37,O2,20180930,,,,,
17h51m,4832,0.57,2,acetate,37,O2,20180930,,,,,
20h44m,5005,0.56,2,acetate,37,O2,20180930,,,,,
20h44m,5005,0.56,2,acetate,37,O2,20180930,,,,,
20h44m,5005,0.56,2,acetate,37,O2,20180930,,,,,
09h46m,5786,0.5,2,acetate,37,O2,20181001,,,,,
09h46m,5786,0.5,2,acetate,37,O2,20181001,,,,,
09h46m,5786,0.5,2,acetate,37,O2,20181001,,,,,
12h35m,5955,0.54,2,acetate,37,O2,20181001,,,,,
12h35m,5955,0.54,2,acetate,37,O2,20181001,,,,,
12h35m,5955,0.54,2,acetate,37,O2,20181001,,,,,
15h20m,6120,0.52,2,acetate,37,O2,20181001,,,,,
15h20m,6120,0.52,2,acetate,37,O2,20181001,,,,,
15h20m,6120,0.52,2,acetate,37,O2,20181001,,,,,
17h16m,6236,0.54,2,acetate,37,O2,20181001,,,,,
17h16m,6236,0.54,2,acetate,37,O2,20181001,,,,,
17h16m,6236,0.54,2,acetate,37,O2,20181001,,,,,
00h40m,6620,0.5,2,acetate,37,O2,20181002,,,,,
00h40m,6620,0.5,2,acetate,37,O2,20181002,,,,,
00h40m,6620,0.5,2,acetate,37,O2,20181002,,,,,
11h59m,7299,0.46,2,acetate,37,O2,20181002,,,,,
11h59m,7299,0.46,2,acetate,37,O2,20181002,,,,,
11h59m,7299,0.46,2,acetate,37,O2,20181002,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,        
