parameter,value
max df,0.02692783812239936
max df std,0.0004292431003824116
max df stderr,4.292431003824116e-05
time of max df,167.0966666666667
time of max df std,2.098833009079093
time of max df stderr,0.2098833009079093
inverse max df,25.74745699701859
inverse max df std,0.41053786718298685
inverse max df stderr,0.041053786718298686
max y,0.5901346600927923
max y std,0.011571384815732465
max y stderr,0.0011571384815732464
lag time,91.97207732874726
lag time std,1.379628755925218
lag time stderr,0.1379628755925218
doubling time,25.740914566155435
