parameter,value
max df,0.025620048500515028
max df std,0.0003045614353644691
max df stderr,3.045614353644691e-05
time of max df,146.02666666666667
time of max df std,1.9749430371532237
time of max df stderr,0.19749430371532237
inverse max df,27.058679361801214
inverse max df std,0.32015726657496285
inverse max df stderr,0.03201572665749629
max y,0.7251725318640675
max y std,0.018115235600321092
max y stderr,0.0018115235600321092
lag time,83.6759200080691
lag time std,1.4354973993475089
lag time stderr,0.1435497399347509
doubling time,27.054873863568652
