parameter,value
max df,0.010286668214028682
max df std,6.969387047127432e-05
max df stderr,6.9693870471274326e-06
time of max df,255.22666666666672
time of max df std,14.986540628177012
time of max df stderr,1.4986540628177012
inverse max df,67.38615525885498
inverse max df std,0.4568818599264669
inverse max df stderr,0.04568818599264669
max y,0.12602868991686278
max y std,0.0016328364846546408
max y stderr,0.00016328364846546407
lag time,67.93682366341223
lag time std,2.1791815497143645
lag time stderr,0.21791815497143646
doubling time,67.38305991192072
