parameter,value
max df,0.011076707646356649
max df std,0.00012461775633973592
max df stderr,1.2461775633973591e-05
time of max df,263.4866666666667
time of max df std,11.378822434681025
time of max df stderr,1.1378822434681024
inverse max df,62.58492082209618
inverse max df std,0.7037755494515965
inverse max df stderr,0.07037755494515965
max y,0.11644693740394928
max y std,0.002739032527712482
max y stderr,0.0002739032527712482
lag time,85.57575562330366
lag time std,3.80358238877628
lag time stderr,0.380358238877628
doubling time,62.577004168556826
