parameter,value
max df,0.027237902269109156
max df std,0.0003335129228424547
max df stderr,3.335129228424547e-05
time of max df,142.45666666666665
time of max df std,3.4936943197709787
time of max df stderr,0.34936943197709786
inverse max df,25.45169808395472
inverse max df std,0.3109291710747209
inverse max df stderr,0.03109291710747209
max y,0.7585282932715347
max y std,0.014927693196586388
max y stderr,0.0014927693196586389
lag time,83.23072529140994
lag time std,1.2118833103904607
lag time stderr,0.12118833103904607
doubling time,25.447891460644975
