parameter,value
max df,0.027464771864437427
max df std,0.0003719838720425597
max df stderr,3.719838720425597e-05
time of max df,141.54666666666665
time of max df std,3.599388837011083
time of max df stderr,0.35993888370110827
inverse max df,25.242308047992182
inverse max df std,0.3415852094622148
inverse max df stderr,0.03415852094622148
max y,0.19818969448936968
max y std,0.004213144184898727
max y stderr,0.0004213144184898727
lag time,78.86555487068662
lag time std,1.1817096262484903
lag time stderr,0.11817096262484902
doubling time,25.237682074376238
