parameter,value
max df,0.011798840663732714
max df std,0.0001112333813964179
max df stderr,1.112333813964179e-05
time of max df,423.92666666666656
time of max df std,3.4120961299471038
time of max df stderr,0.34120961299471037
inverse max df,58.75227385619757
inverse max df std,0.5532719187511478
inverse max df stderr,0.05532719187511478
max y,0.1566387547391647
max y std,0.0012183427258876745
max y stderr,0.00012183427258876745
lag time,362.0363204924898
lag time std,1.127550183833001
lag time stderr,0.11275501838330011
doubling time,58.74705831824152
