,parameter,value
0,max df,0.026290193591805625
1,max df std,0.0003994013098819147
2,max df stderr,3.994013098819147e-05
3,time of max df,168.9866666666667
4,time of max df std,3.3745518220942943
5,time of max df stderr,0.33745518220942944
6,inverse max df,26.371306974071263
7,inverse max df std,0.3996466941936378
8,inverse max df stderr,0.03996466941936378
9,max y,0.31287863854688064
10,max y std,0.009120145388526282
11,max y stderr,0.0009120145388526282
12,lag time,90.5537065816591
13,lag time std,1.6305494815783868
14,lag time stderr,0.16305494815783866
