,parameter,value
0,max df,0.010639346243505557
1,max df std,8.996725753747981e-05
2,max df stderr,8.996725753747982e-06
3,time of max df,247.38666666666666
4,time of max df std,9.920262093311868
5,time of max df stderr,0.9920262093311868
6,inverse max df,65.15406153606834
7,inverse max df std,0.5495605190363547
8,inverse max df stderr,0.05495605190363547
9,max y,0.17643383750413758
10,max y std,0.0026913581763521213
11,max y stderr,0.00026913581763521213
12,lag time,156.67229850196517
13,lag time std,1.477469258836804
14,lag time stderr,0.14774692588368038
