,I_1,I_2,summed,fluct
0,33331.27264720415,36282.35787374131,69613.63052094546,8708904.01428591
1,26758.562262000974,22996.252786917066,49754.81504891804,14154972.586306153
2,26965.234584531867,31112.103428922353,58077.338013454224,17196521.21257649
3,25269.021095079603,24805.664456130817,50074.68555121042,214699.37485791562
4,21364.036404770388,21264.30615928014,42628.34256405053,9946.121865545374
5,34246.925109447955,30480.664456130813,64727.58956557877,14184719.308724865
6,37873.905249160875,42409.75589116616,80283.66114032704,20573941.046579774
7,21536.40380281367,22139.234584531867,43675.638387345534,363404.95138697105
8,26420.326019567216,37415.93876123686,63836.26478080408,120903499.56476782
9,32950.707069399396,33030.379391930284,65981.08646132969,6347.678977465967
10,35445.751340569856,33054.41745460257,68500.16879517242,5718477.754175409
11,27633.132390402036,35094.914350353465,62728.0467407555,55678190.0178566
12,21831.364082239503,22424.59122348066,44255.95530572016,351918.4411051561
13,34400.54695231019,38844.99668419622,73245.54363650642,19753133.419261806
14,29033.842775605204,21835.272647204154,50869.11542280936,51819411.89350791
15,21962.063708348178,22754.469169063734,44716.53287741191,627906.4141718323
16,18172.176661572506,24308.23292662998,42480.409588202485,37651186.487951055
17,18492.097220424166,12150.475377561928,30642.572597986094,40216167.597867444
18,31545.007443290706,28698.292507491235,60243.29995078194,8103785.925703788
19,30027.600324673254,15831.891597371978,45859.49192204523,201518146.27037764
20,21033.123289209438,50373.28629899305,71406.40958820248,860845165.4406747
21,27094.203965150304,36255.079018038974,63349.282983189274,83921631.734638
22,23259.412904006265,24123.04095536669,47382.45385937295,745853.4110966051
23,23243.81836472183,21570.388493122882,44814.20685784471,2800367.5351596656
24,15518.871737084895,17407.504339041614,32926.37607612651,3566933.1051738053
25,35810.103428922346,55761.615634364054,91571.71906328641,398062839.2838895
26,19499.64459584373,19280.45551727485,38780.10011311858,48043.85216387353
27,18871.760441762464,15462.156801285417,34333.91724304788,11625396.985154336
28,20006.478270256335,14338.045505962993,34344.52377621933,32131130.00331426
29,63254.179554266906,44145.981374505434,107400.16092877234,365123237.6770396
30,33037.89614796828,26950.809263529223,59988.7054114975,37052626.73870994
31,31979.190313361403,23249.379391930288,55228.569705291695,76209598.72393797
32,28232.842775605204,31933.364082239495,60166.2068578447,13693857.940854361
33,29657.0483986574,21224.15225068912,50881.200649346516,71113737.44241826
34,24330.470826965633,28361.330570163518,52691.80139712915,16247830.26933332
35,58345.832016510714,53740.992133599924,112086.82415011064,21204550.347245857
36,51481.44020758406,71950.10342892236,123431.54363650642,418966174.0685671
37,45347.822915318124,40105.30615928014,85453.12907459826,27483981.937339038
38,13413.374841333987,18559.62018496035,31972.99502629434,26483841.136796016
39,21648.268096607855,28570.15680128542,50218.424897893274,47912543.23994284
40,43800.450966678545,49151.61563436405,92952.06660104259,28634963.300685685
41,35378.71161999569,70479.69175970861,105858.40337970431,1232078806.7685213
42,41134.47537756193,62709.85642739411,103844.33180495605,465497067.4454574
43,50685.88538887378,50323.31981106903,101009.20519994281,131453.7982088931
44,17465.577571691763,16860.72237909018,34326.29995078195,365849.8040170975
45,12575.55316080838,12440.156801285424,25015.709962093802,18332.17417206959
46,49296.150592787235,74655.95241302575,123952.10300581298,643119548.3617727
47,39385.644595843725,69867.21761693919,109252.86221278291,929126293.8403748
48,36172.75878386057,28373.21927484108,64545.97805870165,60832816.55275594
49,70729.75257536238,47489.3640822395,118219.11665760187,540115657.3112781
50,55465.1903133614,70859.16590247801,126324.35621583942,236974484.43831795
51,10026.127839805735,14238.277197800446,24264.40503760618,17742202.214055255
52,19142.27719780045,19612.524199328698,38754.80139712915,221132.24244630884
53,52189.364082239495,48702.92966004426,100892.29374228376,12155224.980267817
54,20758.722379090177,24827.55771140468,45586.28009049485,16555420.961490864
55,36687.3595316432,43201.92510944796,79889.28464109116,42439564.66751874
56,41585.16590247802,45898.426555795166,87483.59245827318,18604217.46345388
57,21802.408353409966,19813.92510944796,41616.333462857925,3954065.611517669
58,19324.16590247802,17339.84277560521,36664.008678083235,3937538.2718422804
59,22955.248236320764,20927.301608683832,43882.5498450046,4112567.524544002
60,64088.281748396745,50887.38394252658,114975.66569092333,174263702.88102764
61,37067.88538887379,48511.01033598512,85578.89572485891,130945108.55520175
62,28146.46172577303,25219.461725773035,53365.92345154607,8567328.99999998
63,59760.31981106903,35450.818364721825,95211.13817579085,590951860.5699568
64,62729.98592510173,67364.0529492537,130094.03887435544,21474577.184332687
65,25468.934210640557,27231.3640822395,52700.298292880056,3106159.052304265
66,22516.896147968277,23251.239135128166,45768.135283096446,539259.6227909091
67,25982.75134056986,25537.065366250077,51519.81670681994,198635.98770537335
68,22869.16135188172,29370.12163130755,52239.282983189274,42262484.55467234
69,32835.098878326055,21689.3458798543,54524.444758180354,124227809.90294212
70,37331.24368572447,39046.5241993287,76377.76788505317,2942187.2403503903
71,31991.716170591986,33125.93876123685,65117.65493182884,1286460.8851291507
72,30160.731480282775,30188.04550596299,60348.776986245764,746.0559988594117
73,29333.85187679781,26721.31981106903,56055.17168786684,6825323.794461093
74,25050.441865485947,24028.640045247434,49079.08191073338,1044078.95984274
75,33749.649146440024,41337.09266982787,75086.7418162679,57569299.22060018
76,31802.792295936546,22812.203965150296,54614.99626108684,80830678.53366987
77,14496.669006727108,13119.432764293353,27616.10177102046,1896779.6674730494
78,18134.842775605204,27249.383942526583,45384.22671813179,83074860.68350454
79,15337.533300521294,11679.615634364041,27017.148934885336,13380361.652385324
80,34829.04550596299,22692.12783980574,57521.17334576873,147304770.43507993
81,36667.011993887005,41712.41290400627,78379.42489789327,25456070.3438323
82,32289.611083767744,39716.252786917066,72005.86387068481,55155006.98695666
83,22641.0210950796,38751.67189942152,61392.69299450112,259553069.33944294
84,14460.15225068912,18044.161351881714,32504.313602570834,12845121.237431347
85,47733.40669550808,17227.123289209438,64960.52998471752,930633327.2654117
86,19254.678107919714,20815.954070927644,40070.63217884736,2437582.632666342
87,26314.098878326055,38908.11708071125,65222.215959037305,158609294.48200965
88,27279.25733751336,22820.441865485944,50099.699202999305,19881035.413591087
89,13727.693417610499,12099.287956894936,25826.981374505434,2651704.3444882655
90,9615.31691837462,13820.577571691765,23435.894490066385,17684217.162337348
91,28910.78940324214,21879.842775605204,50790.63217884734,49434210.480679184
92,40421.26809660785,46256.20562305218,86677.47371966002,34046495.93750827
93,42668.3686328358,28369.41745460256,71037.78608743836,204460004.79749778
94,17949.470826965637,20873.542401713887,38823.01322867953,8550194.574250711
95,23658.310709876434,22424.40380281367,46082.7145126901,1522526.2552971938
96,31640.460067871143,32489.475377561932,64129.935445433075,720826.9960893461
97,53276.961514218354,35847.71617059199,89124.67768481035,303778593.2483212
98,46079.52088352492,41396.981374505434,87476.50225803035,21926176.253528457
99,44089.976823909135,30170.711619995687,74260.68844390483,193745943.8168757
100,38961.402144911786,54217.76333445686,93179.16547936865,232756556.74585718
101,22746.50888963791,19579.393043719178,42325.90193335709,10030622.781469524
102,24789.528749924993,22072.528749925,46862.057499849994,7382088.999999961
103,21477.23913512817,26587.10342892235,48064.342564050516,26110713.1009927
104,14987.330570163514,18344.281748396745,33331.61231856026,11269121.213041471
105,14050.268096607851,37390.527092023105,51440.79518863096,544767689.9730626
106,21557.72237909018,23852.78485264584,45410.50723173602,5267311.757523422
107,31516.760441762457,38726.43731488965,70243.19775665211,51979440.614905074
108,48788.74968266796,26380.862635892296,75169.61231856026,502113401.90105677
109,14899.054607155584,12822.571363193576,27721.62597034916,4311782.662454982
110,34248.952413025756,30366.039297464802,64614.99171049056,15077014.262995273
111,9053.321468970922,10428.644595843723,19481.966064814646,1891513.7033111798
112,28240.98137450543,24243.716170591993,52484.69754509743,15978129.110417133
