date,operator,carbon,temp,strain,atc_ngml,iptg_um,mean_fitc,fold_change
20180501,O2,glycerol,37,dilution,7.0,1000.0,50597.327014486844,1.0631507227065986
20180501,O2,glycerol,37,dilution,3.0,0.1,6318.812658600869,-0.10905965696739195
20180501,O2,glycerol,37,dilution,3.0,10.0,11242.352968136009,0.009895309660976882
20180501,O2,glycerol,37,dilution,10.0,25.0,16605.92638404829,0.1442480361556228
20180501,O2,glycerol,37,dilution,7.0,5000.0,46623.73864438827,0.9031732283644016
20180501,O2,glycerol,37,delta,0.0,5.0,50005.613584602055,1.0
20180501,O2,glycerol,37,dilution,4.0,0.1,6129.964752280409,-0.11288896350711268
20180501,O2,glycerol,37,dilution,1.0,0.0,6593.127821954035,-0.10834254636127512
20180501,O2,glycerol,37,auto,0.0,75.0,11671.613506055277,0.0
20180501,O2,glycerol,37,auto,0.0,500.0,12247.010003117479,0.0
20180501,O2,glycerol,37,dilution,7.0,25.0,16748.54061931073,0.1479560592712466
20180501,O2,glycerol,37,dilution,4.0,0.0,5891.925433772377,-0.12441236626736649
20180501,O2,glycerol,37,dilution,2.0,50.0,29729.926977963725,0.473223149068813
20180501,O2,glycerol,37,dilution,10.0,100.0,34665.90511644162,0.6026208949579314
20180501,O2,glycerol,37,dilution,7.0,100.0,37882.15292994921,0.6861450587402872
20180501,O2,glycerol,37,dilution,3.0,5000.0,45045.71570352098,0.86110675218096
20180501,O2,glycerol,37,auto,0.0,250.0,11614.107807128474,0.0
20180501,O2,glycerol,37,auto,0.0,25.0,11058.004291070129,0.0
20180501,O2,glycerol,37,dilution,7.0,0.1,5775.77366960928,-0.1200709665041794
20180501,O2,glycerol,37,dilution,10.0,0.1,5830.833752373574,-0.11895450225993677
20180501,O2,glycerol,37,dilution,1.0,5.0,10441.90664343865,0.0013629610868659066
20180501,O2,glycerol,37,dilution,3.0,1000.0,50381.14830646667,1.057193757408273
20180501,O2,glycerol,37,dilution,1.0,10.0,17330.477211506626,0.17154774633914452
20180501,O2,glycerol,37,dilution,4.0,5.0,7651.34374471407,-0.0690743079543656
20180501,O2,glycerol,37,dilution,4.0,100.0,39809.58456729983,0.7361993844925674
20180501,O2,glycerol,37,dilution,7.0,75.0,33800.85029086652,0.5602830840791401
