parameter,value,well_id,carbon,strain
max df,0.005150698339186677,27,glucose,delta
lag time std,6.3189453288607815,27,glucose,delta
lag time,92.53994573428378,27,glucose,delta
max y stderr,0.00030049912410697407,27,glucose,delta
max y std,0.003004991241069741,27,glucose,delta
max y,0.11675529391085783,27,glucose,delta
inverse max df stderr,0.414278742592329,27,glucose,delta
lag time stderr,0.6318945328860781,27,glucose,delta
inverse max df,134.7012100137271,27,glucose,delta
time of max df stderr,1.1000472717115386,27,glucose,delta
time of max df std,11.000472717115386,27,glucose,delta
time of max df,198.52666666666664,27,glucose,delta
max df stderr,1.5898705404067175e-05,27,glucose,delta
max df std,0.00015898705404067176,27,glucose,delta
inverse max df std,4.14278742592329,27,glucose,delta
lag time,70.64379692093817,28,glucose,delta
max y stderr,0.00013077494798670482,28,glucose,delta
max y std,0.0013077494798670482,28,glucose,delta
max y,0.06729737831295647,28,glucose,delta
inverse max df stderr,0.6724374324567839,28,glucose,delta
inverse max df std,6.7243743245678385,28,glucose,delta
time of max df std,28.330548882787276,28,glucose,delta
time of max df stderr,2.8330548882787276,28,glucose,delta
time of max df,123.76666666666667,28,glucose,delta
max df stderr,2.4841503230098957e-05,28,glucose,delta
max df std,0.00024841503230098956,28,glucose,delta
max df,0.00493515681590789,28,glucose,delta
inverse max df,140.78824520075307,28,glucose,delta
lag time stderr,0.1578372741262908,28,glucose,delta
lag time std,1.578372741262908,28,glucose,delta
max y,0.04534200473183,29,glucose,delta
lag time,88.15303182604221,29,glucose,delta
lag time std,6.762472385689067,29,glucose,delta
max y stderr,5.027951976483972e-05,29,glucose,delta
max y std,0.0005027951976483972,29,glucose,delta
inverse max df stderr,0.5447441149751474,29,glucose,delta
lag time stderr,0.6762472385689067,29,glucose,delta
inverse max df std,5.447441149751474,29,glucose,delta
time of max df stderr,1.38838431278951,29,glucose,delta
time of max df std,13.8838431278951,29,glucose,delta
time of max df,199.99666666666664,29,glucose,delta
max df stderr,1.1747721076035591e-05,29,glucose,delta
max df std,0.00011747721076035592,29,glucose,delta
max df,0.003891688901496527,29,glucose,delta
inverse max df,178.27388120899616,29,glucose,delta
max y std,0.0005482486617691212,30,glucose,delta
max y stderr,5.482486617691211e-05,30,glucose,delta
lag time stderr,0.5682359761428625,30,glucose,delta
lag time std,5.682359761428625,30,glucose,delta
max y,0.028934030764621522,30,glucose,delta
lag time,95.85722195057242,30,glucose,delta
inverse max df stderr,0.3891162853938207,30,glucose,delta
inverse max df std,3.8911628539382073,30,glucose,delta
inverse max df,140.61725503912103,30,glucose,delta
time of max df stderr,0.9885625928589448,30,glucose,delta
time of max df std,9.885625928589448,30,glucose,delta
time of max df,201.04666666666665,30,glucose,delta
max df stderr,1.3512354513819187e-05,30,glucose,delta
max df std,0.00013512354513819187,30,glucose,delta
max df,0.004933054274455752,30,glucose,delta
lag time,79.74048969651827,31,glucose,delta
max y stderr,7.228776590666548e-05,31,glucose,delta
max y std,0.0007228776590666548,31,glucose,delta
max y,0.03597753397845683,31,glucose,delta
inverse max df stderr,0.371607628860079,31,glucose,delta
inverse max df std,3.7160762886007896,31,glucose,delta
time of max df,178.36666666666665,31,glucose,delta
time of max df stderr,1.5714961024450544,31,glucose,delta
time of max df std,15.714961024450544,31,glucose,delta
lag time std,4.361062303495169,31,glucose,delta
max df stderr,1.0503259532384508e-05,31,glucose,delta
max df std,0.00010503259532384508,31,glucose,delta
max df,0.004434396838684209,31,glucose,delta
inverse max df,156.3994790739431,31,glucose,delta
lag time stderr,0.4361062303495169,31,glucose,delta
lag time stderr,0.28576615017403495,32,glucose,delta
max df stderr,1.1117815150755158e-05,32,glucose,delta
time of max df,160.09666666666664,32,glucose,delta
time of max df std,12.963992440602535,32,glucose,delta
time of max df stderr,1.2963992440602534,32,glucose,delta
inverse max df,123.57801121530736,32,glucose,delta
inverse max df std,2.4288153994506083,32,glucose,delta
inverse max df stderr,0.24288153994506084,32,glucose,delta
max y,0.04421609585938339,32,glucose,delta
max y std,0.00047181705695660303,32,glucose,delta
max y stderr,4.71817056956603e-05,32,glucose,delta
lag time,75.56404321245469,32,glucose,delta
max df std,0.00011117815150755158,32,glucose,delta
max df,0.005611168765043636,32,glucose,delta
lag time std,2.8576615017403495,32,glucose,delta
lag time stderr,0.35466753440910204,33,glucose,delta
max df std,0.00015498713815914372,33,glucose,delta
