,parameter,value
0,max df,0.0033234494846623584
1,max df std,3.4279274182917176e-05
2,max df stderr,3.4279274182917177e-06
3,time of max df,917.4966666666664
4,time of max df std,12.895778378988975
5,time of max df stderr,1.2895778378988976
6,inverse max df,208.58472963097583
7,inverse max df std,2.148268078501135
8,inverse max df stderr,0.21482680785011352
9,max y,0.11566193727369642
10,max y std,0.0007436927940304091
11,max y stderr,7.436927940304091e-05
12,lag time,762.6573060098582
13,lag time std,2.7171365466291206
14,lag time stderr,0.2717136546629121
