strain,area_pix,mean_yfp,mean_mCherry,fold_change,atc_ngml,date,carbon,temp,operator,run_number,yfp_bg_val,mCherry_bg_val
delta,624.0,925.8333333333334,185.00320512820514,0.9631110879062333,0.0,20181017,glycerol,37,O2,1,157.64683987212,186.54855839611722
delta,276.0,246.07246376811594,191.6485507246377,0.10723385644727676,0.0,20181017,glycerol,37,O2,1,157.64683987212,186.54855839611722
delta,616.0,1144.5081168831168,180.03896103896105,1.2384413940684345,0.0,20181017,glycerol,37,O2,1,157.64683987212,186.54855839611722
delta,503.0,1172.831013916501,184.84691848906562,1.2741023504211215,0.0,20181017,glycerol,37,O2,1,157.64683987212,186.54855839611722
delta,881.0,763.7616345062429,193.0488081725312,0.7590489197224386,0.0,20181017,glycerol,37,O2,1,157.64683987212,186.54855839611722
delta,570.0,827.0877192982456,185.11929824561403,0.838781891356391,0.0,20181017,glycerol,37,O2,1,157.64683987212,186.54855839611722
delta,599.0,1284.754590984975,194.22871452420702,1.4150237325795547,0.0,20181017,glycerol,37,O2,1,157.64683987212,186.54855839611722
delta,626.0,827.3929712460064,195.43450479233226,0.8391662297372015,0.0,20181017,glycerol,37,O2,1,157.64683987212,186.54855839611722
delta,474.0,664.620253164557,192.20886075949366,0.6342214181923613,0.0,20181017,glycerol,37,O2,1,157.64683987212,186.54855839611722
delta,697.0,702.8608321377332,192.57819225251077,0.6823695866532549,0.0,20181017,glycerol,37,O2,1,157.64683987212,186.54855839611722
delta,538.0,624.3215613382899,193.1096654275093,0.5834819091445049,0.0,20181017,glycerol,37,O2,1,157.64683987212,186.54855839611722
delta,614.0,523.64332247557,190.26872964169382,0.45671937219367625,0.0,20181017,glycerol,37,O2,1,157.64683987212,186.54855839611722
delta,779.0,912.6110397946085,193.7150192554557,0.9464630863896121,0.0,20181017,glycerol,37,O2,1,157.64683987212,186.54855839611722
delta,402.0,733.9452736318408,193.56965174129354,0.7215075643136067,0.0,20181017,glycerol,37,O2,1,157.64683987212,186.54855839611722
delta,751.0,828.1837549933422,193.65246338215712,0.8401618942931582,0.0,20181017,glycerol,37,O2,1,157.64683987212,186.54855839611722
delta,355.0,1105.056338028169,194.76901408450703,1.1887682210832038,0.0,20181017,glycerol,37,O2,1,157.64683987212,186.54855839611722
delta,644.0,1311.748447204969,195.06211180124222,1.4490113125688922,0.0,20181017,glycerol,37,O2,1,157.64683987212,186.54855839611722
delta,651.0,797.6298003072196,202.45775729646698,0.8016918450189082,0.0,20181017,glycerol,37,O2,1,157.64683987212,186.54855839611722
delta,689.0,912.3860667634252,187.34978229317852,0.9461798260495381,0.0,20181017,glycerol,37,O2,1,157.64683987212,186.54855839611722
delta,841.0,1225.1058263971463,193.40309155766943,1.339920822451716,0.0,20181017,glycerol,37,O2,1,157.64683987212,186.54855839611722
delta,621.0,658.8743961352657,197.29468599033817,0.6269868914245375,0.0,20181017,glycerol,37,O2,1,157.64683987212,186.54855839611722
delta,858.0,697.1468531468531,187.92424242424244,0.6751751970696694,0.0,20181017,glycerol,37,O2,1,157.64683987212,186.54855839611722
delta,485.0,980.4,193.51752577319587,1.0318152009077388,0.0,20181017,glycerol,37,O2,1,157.64683987212,186.54855839611722
delta,426.0,948.2112676056338,193.85915492957747,0.99128682629935,0.0,20181017,glycerol,37,O2,1,157.64683987212,186.54855839611722
delta,684.0,1101.2602339181287,194.24122807017545,1.1839886004526294,0.0,20181017,glycerol,37,O2,1,157.64683987212,186.54855839611722
delta,768.0,1414.2239583333333,185.25260416666666,1.5780367694372524,0.0,20181017,glycerol,37,O2,1,157.64683987212,186.54855839611722
delta,274.0,595.0656934306569,178.96350364963504,0.5466462624490288,0.0,20181017,glycerol,37,O2,1,157.64683987212,186.54855839611722
delta,317.0,684.7791798107255,179.21766561514195,0.6596032356808298,0.0,20181017,glycerol,37,O2,1,157.64683987212,186.54855839611722
delta,349.0,699.7793696275072,178.44126074498567,0.678489761084914,0.0,20181017,glycerol,37,O2,1,157.64683987212,186.54855839611722
delta,733.0,1302.8663028649387,180.8799454297408,1.4378279311070756,0.0,20181017,glycerol,37,O2,1,157.64683987212,186.54855839611722
