date,carbon,temp_C,operator,colony_idx,area,time_min
20181024,glucose,37,O2,2,24936,340
20181024,glucose,37,O2,2,25982,345
20181024,glucose,37,O2,2,27319,350
20181024,glucose,37,O2,2,28356,355
20181024,glucose,37,O2,2,29633,360
20181024,glucose,37,O2,3,559,5
20181024,glucose,37,O2,3,597,10
20181024,glucose,37,O2,3,644,15
20181024,glucose,37,O2,3,696,20
20181024,glucose,37,O2,3,754,25
20181024,glucose,37,O2,3,813,30
20181024,glucose,37,O2,3,829,35
20181024,glucose,37,O2,3,862,40
20181024,glucose,37,O2,3,897,45
20181024,glucose,37,O2,3,944,50
20181024,glucose,37,O2,3,992,55
20181024,glucose,37,O2,3,1045,60
20181024,glucose,37,O2,3,1094,65
20181024,glucose,37,O2,3,1155,70
20181024,glucose,37,O2,3,1202,75
20181024,glucose,37,O2,3,1246,80
20181024,glucose,37,O2,3,1282,85
20181024,glucose,37,O2,3,1310,90
20181024,glucose,37,O2,3,1350,95
20181024,glucose,37,O2,3,1372,100
20181024,glucose,37,O2,3,1407,105
20181024,glucose,37,O2,3,1437,110
20181024,glucose,37,O2,3,1473,115
20181024,glucose,37,O2,3,1493,120
20181024,glucose,37,O2,3,1524,125
20181024,glucose,37,O2,3,1550,130
20181024,glucose,37,O2,3,1586,135
20181024,glucose,37,O2,3,1651,140
20181024,glucose,37,O2,3,1712,145
20181024,glucose,37,O2,3,1788,150
20181024,glucose,37,O2,3,1859,155
20181024,glucose,37,O2,3,1942,160
20181024,glucose,37,O2,3,2016,165
20181024,glucose,37,O2,3,2113,170
20181024,glucose,37,O2,3,2187,175
20181024,glucose,37,O2,3,2291,180
20181024,glucose,37,O2,3,2380,185
20181024,glucose,37,O2,3,2475,190
20181024,glucose,37,O2,3,2584,195
20181024,glucose,37,O2,3,2701,200
20181024,glucose,37,O2,3,2819,205
20181024,glucose,37,O2,3,2930,210
20181024,glucose,37,O2,3,3081,215
20181024,glucose,37,O2,3,3244,220
20181024,glucose,37,O2,3,3421,225
20181024,glucose,37,O2,3,3608,230
20181024,glucose,37,O2,3,3757,235
20181024,glucose,37,O2,3,3913,240
20181024,glucose,37,O2,3,4072,245
20181024,glucose,37,O2,3,4256,250
20181024,glucose,37,O2,3,4445,255
20181024,glucose,37,O2,3,4677,260
20181024,glucose,37,O2,3,4902,265
20181024,glucose,37,O2,3,5137,270
20181024,glucose,37,O2,3,5351,275
20181024,glucose,37,O2,3,5556,280
20181024,glucose,37,O2,3,5746,285
20181024,glucose,37,O2,3,5979,290
20181024,glucose,37,O2,3,6239,295
20181024,glucose,37,O2,3,6605,300
20181024,glucose,37,O2,3,6972,305
20181024,glucose,37,O2,3,7324,310
20181024,glucose,37,O2,3,7677,315
20181024,glucose,37,O2,3,8086,320
20181024,glucose,37,O2,3,8479,325
20181024,glucose,37,O2,3,8905,330
20181024,glucose,37,O2,3,9321,335
20181024,glucose,37,O2,3,9788,340
20181024,glucose,37,O2,3,10199,345
20181024,glucose,37,O2,3,10677,350
20181024,glucose,37,O2,3,11110,355
20181024,glucose,37,O2,3,11666,360
20181024,glucose,37,O2,4,1292,5
20181024,glucose,37,O2,4,1363,10
20181024,glucose,37,O2,4,1438,15
20181024,glucose,37,O2,4,1509,20
20181024,glucose,37,O2,4,1567,25
20181024,glucose,37,O2,4,1613,30
20181024,glucose,37,O2,4,1627,35
20181024,glucose,37,O2,4,1719,40
20181024,glucose,37,O2,4,1767,45
20181024,glucose,37,O2,4,1799,50
20181024,glucose,37,O2,4,1826,55
20181024,glucose,37,O2,4,1873,60
20181024,glucose,37,O2,4,1914,65
20181024,glucose,37,O2,4,1946,70
20181024,glucose,37,O2,4,1963,75
20181024,glucose,37,O2,4,2014,80
20181024,glucose,37,O2,4,2060,85
20181024,glucose,37,O2,4,2140,90
20181024,glucose,37,O2,4,2280,95
20181024,glucose,37,O2,4,2408,100
20181024,glucose,37,O2,4,2577,105
20181024,glucose,37,O2,4,2746,110
20181024,glucose,37,O2,4,2949,115
20181024,glucose,37,O2,4,3166,120
20181024,glucose,37,O2,4,3389,125
20181024,glucose,37,O2,4,3558,130
20181024,glucose,37,O2,4,3758,135
20181024,glucose,37,O2,4,4013,140
20181024,glucose,37,O2,4,4208,145
20181024,glucose,37,O2,4,4469,150
20181024,glucose,37,O2,4,4738,155
20181024,glucose,37,O2,4,4955,160
