clock_time,elapsed_time_min,OD_600,run_number,carbon,temperature,operator,date
11h06m,46,0.08,2,glucose,37,O2,20180621
11h07m,47,0.07,2,glucose,37,O2,20180621
11h07m,47,0.1,2,glucose,37,O2,20180621
11h33m,73,0.1,2,glucose,37,O2,20180621
11h33m,73,0.09,2,glucose,37,O2,20180621
11h34m,74,0.1,2,glucose,37,O2,20180621
12h01m,101,0.12,2,glucose,37,O2,20180621
12h02m,102,0.12,2,glucose,37,O2,20180621
12h02m,102,0.12,2,glucose,37,O2,20180621
12h35m,135,0.18,2,glucose,37,O2,20180621
12h36m,136,0.16,2,glucose,37,O2,20180621
12h37m,137,0.16,2,glucose,37,O2,20180621
13h04m,164,0.2,2,glucose,37,O2,20180621
13h05m,165,0.22,2,glucose,37,O2,20180621
13h05m,165,0.25,2,glucose,37,O2,20180621
13h36m,196,0.29,2,glucose,37,O2,20180621
13h36m,196,0.28,2,glucose,37,O2,20180621
13h37m,197,0.27,2,glucose,37,O2,20180621
14h02m,222,0.33,2,glucose,37,O2,20180621
14h03m,223,0.32,2,glucose,37,O2,20180621
14h05m,225,0.32,2,glucose,37,O2,20180621
14h32m,252,0.4,2,glucose,37,O2,20180621
14h33m,253,0.42,2,glucose,37,O2,20180621
14h33m,253,0.44,2,glucose,37,O2,20180621
15h01m,281,0.47,2,glucose,37,O2,20180621
15h02m,282,0.49,2,glucose,37,O2,20180621
15h02m,282,0.47,2,glucose,37,O2,20180621
15h34m,314,0.54,2,glucose,37,O2,20180621
15h35m,315,0.53,2,glucose,37,O2,20180621
15h35m,315,0.54,2,glucose,37,O2,20180621
16h05m,345,0.69,2,glucose,37,O2,20180621
16h06m,346,0.7,2,glucose,37,O2,20180621
16h06m,346,0.68,2,glucose,37,O2,20180621
16h34m,364,0.72,2,glucose,37,O2,20180621
16h35m,365,0.74,2,glucose,37,O2,20180621
16h35m,365,0.71,2,glucose,37,O2,20180621
17h01m,391,0.78,2,glucose,37,O2,20180621
17h02m,392,0.78,2,glucose,37,O2,20180621
17h02m,392,0.79,2,glucose,37,O2,20180621
