parameter,value
max df,0.010165523437213162
max df std,4.951650495312193e-05
max df stderr,4.951650495312193e-06
time of max df,210.3566666666667
time of max df std,38.44338564694843
time of max df stderr,3.844338564694843
inverse max df,68.18770083935443
inverse max df std,0.3330365737130393
inverse max df stderr,0.03330365737130393
max y,0.13778938231816057
max y std,0.0018394969502732797
max y stderr,0.00018394969502732796
lag time,10.52574914324125
lag time std,1.9487073123820742
lag time stderr,0.19487073123820742
doubling time,68.18607864524965
