date,carbon,operator,clock_time,time_elapsed_min,OD_600,run_number,growth_medium
20180918,glucose,O2,09h24m,0,0.06,1,difco
20180918,glucose,O2,09h24m,0,0.07,1,difco
20180918,glucose,O2,09h24m,0,0.07,1,difco
20180918,glucose,O2,09h25m,0,0.03,2,difco
20180918,glucose,O2,09h25m,0,0.03,2,difco
20180918,glucose,O2,09h25m,0,0.03,2,difco
20180918,glucose,O2,09h26m,0,0.04,1,sigma
20180918,glucose,O2,09h26m,0,0.04,1,sigma
20180918,glucose,O2,09h26m,0,0.04,1,sigma
20180918,glucose,O2,09h26m,0,0.09,2,sigma
20180918,glucose,O2,09h26m,0,0.09,2,sigma
20180918,glucose,O2,09h26m,0,0.09,2,sigma
20180918,glucose,O2,09h27m,0,0.06,1,teknova
20180918,glucose,O2,09h27m,0,0.06,1,teknova
20180918,glucose,O2,09h27m,0,0.06,1,teknova
20180918,glucose,O2,09h27m,0,0.01,2,teknova
20180918,glucose,O2,09h27m,0,0.02,2,teknova
20180918,glucose,O2,09h27m,0,0.02,2,teknova
20180918,glucose,O2,09h59m,35,0.08,1,difco
20180918,glucose,O2,09h59m,35,0.08,1,difco
20180918,glucose,O2,09h59m,35,0.09,1,difco
20180918,glucose,O2,09h59m,34,0.07,2,difco
20180918,glucose,O2,09h59m,34,0.08,2,difco
20180918,glucose,O2,09h59m,34,0.08,2,difco
20180918,glucose,O2,10h00m,34,0.09,1,sigma
20180918,glucose,O2,10h00m,34,0.09,1,sigma
20180918,glucose,O2,10h00m,34,0.09,1,sigma
20180918,glucose,O2,10h02m,36,0.11,2,sigma
20180918,glucose,O2,10h02m,36,0.12,2,sigma
20180918,glucose,O2,10h02m,36,0.1,2,sigma
20180918,glucose,O2,10h02m,35,0.09,1,teknova
20180918,glucose,O2,10h02m,35,0.09,1,teknova
20180918,glucose,O2,10h02m,35,0.1,1,teknova
20180918,glucose,O2,10h03m,36,0.06,2,teknova
20180918,glucose,O2,10h03m,36,0.06,2,teknova
20180918,glucose,O2,10h03m,36,0.07,2,teknova
20180918,glucose,O2,10h32m,68,0.11,1,difco
20180918,glucose,O2,10h32m,68,0.11,1,difco
20180918,glucose,O2,10h32m,68,0.11,1,difco
20180918,glucose,O2,10h33m,68,0.1,2,difco
