clock_time,elapsed_time_min,OD_600,run_number,carbon,temperature,operator,date
9h02m,17,0.09,2,glycerol,37,O2,20180918
9h02m,17,0.1,2,glycerol,37,O2,20180918
9h02m,17,0.1,2,glycerol,37,O2,20180918
9h32m,47,0.09,2,glycerol,37,O2,20180918
9h32m,47,0.09,2,glycerol,37,O2,20180918
9h32m,47,0.1,2,glycerol,37,O2,20180918
10h00m,75,0.09,2,glycerol,37,O2,20180918
10h00m,75,0.09,2,glycerol,37,O2,20180918
10h00m,75,0.09,2,glycerol,37,O2,20180918
10h29m,104,0.11,2,glycerol,37,O2,20180918
10h29m,104,0.12,2,glycerol,37,O2,20180918
10h29m,104,0.12,2,glycerol,37,O2,20180918
11h04m,139,0.12,2,glycerol,37,O2,20180918
11h04m,139,0.13,2,glycerol,37,O2,20180918
11h04m,139,0.13,2,glycerol,37,O2,20180918
11h30m,165,0.17,2,glycerol,37,O2,20180918
11h31m,166,0.17,2,glycerol,37,O2,20180918
11h31m,166,0.18,2,glycerol,37,O2,20180918
11h58m,193,0.17,2,glycerol,37,O2,20180918
11h58m,193,0.18,2,glycerol,37,O2,20180918
11h58m,193,0.19,2,glycerol,37,O2,20180918
12h39m,234,0.23,2,glycerol,37,O2,20180918
12h39m,234,0.24,2,glycerol,37,O2,20180918
12h39m,234,0.24,2,glycerol,37,O2,20180918
13h00m,255,0.26,2,glycerol,37,O2,20180918
13h00m,255,0.27,2,glycerol,37,O2,20180918
13h00m,255,0.27,2,glycerol,37,O2,20180918
13h28m,283,0.32,2,glycerol,37,O2,20180918
13h28m,283,0.32,2,glycerol,37,O2,20180918
13h28m,283,0.32,2,glycerol,37,O2,20180918
14h01m,316,0.34,2,glycerol,37,O2,20180918
14h01m,316,0.35,2,glycerol,37,O2,20180918
14h01m,316,0.36,2,glycerol,37,O2,20180918
14h29m,344,0.39,2,glycerol,37,O2,20180918
14h29m,344,0.41,2,glycerol,37,O2,20180918
14h29m,344,0.42,2,glycerol,37,O2,20180918
14h58m,373,0.43,2,glycerol,37,O2,20180918
14h58m,373,0.45,2,glycerol,37,O2,20180918
14h58m,373,0.45,2,glycerol,37,O2,20180918
15h41m,416,0.57,2,glycerol,37,O2,20180918
15h41m,416,0.58,2,glycerol,37,O2,20180918
15h41m,416,0.58,2,glycerol,37,O2,20180918
16h22m,457,0.59,2,glycerol,37,O2,20180918
16h22m,457,0.59,2,glycerol,37,O2,20180918
16h22m,457,0.59,2,glycerol,37,O2,20180918
16h33m,468,0.6,2,glycerol,37,O2,20180918
16h33m,468,0.61,2,glycerol,37,O2,20180918
16h33m,468,0.61,2,glycerol,37,O2,20180918
17h00m,495,0.65,2,glycerol,37,O2,20180918
17h00m,495,0.66,2,glycerol,37,O2,20180918
17h00m,495,0.66,2,glycerol,37,O2,20180918
17h29m,524,0.71,2,glycerol,37,O2,20180918
17h29m,524,0.72,2,glycerol,37,O2,20180918
17h29m,524,0.72,2,glycerol,37,O2,20180918
17h59m,554,0.79,2,glycerol,37,O2,20180918
17h59m,554,0.79,2,glycerol,37,O2,20180918
17h59m,554,0.81,2,glycerol,37,O2,20180918
