parameter,value,well_id,carbon,strain
max df,0.011410896339097042,15,glucose,delta
lag time stderr,0.014661373423151594,15,glucose,delta
lag time std,0.14661373423151594,15,glucose,delta
lag time,153.19291507457757,15,glucose,delta
max y stderr,0.00020027795243107442,15,glucose,delta
max y,0.18473925230537003,15,glucose,delta
inverse max df stderr,0.24212071455275996,15,glucose,delta
max y std,0.0020027795243107442,15,glucose,delta
inverse max df,60.84279608684018,15,glucose,delta
time of max df stderr,0.8974207485900907,15,glucose,delta
time of max df std,8.974207485900907,15,glucose,delta
time of max df,156.10666666666665,15,glucose,delta
max df stderr,4.647603633780356e-05,15,glucose,delta
max df std,0.0004647603633780356,15,glucose,delta
inverse max df std,2.4212071455275996,15,glucose,delta
inverse max df stderr,0.07493757532156485,16,glucose,delta
lag time stderr,0.027245329046179583,16,glucose,delta
lag time,153.43383984311996,16,glucose,delta
max y stderr,0.00012945043141883726,16,glucose,delta
max y std,0.0012945043141883727,16,glucose,delta
max y,0.18353698396720333,16,glucose,delta
inverse max df std,0.7493757532156485,16,glucose,delta
lag time std,0.27245329046179584,16,glucose,delta
time of max df stderr,1.7992042685587417,16,glucose,delta
time of max df std,17.992042685587418,16,glucose,delta
time of max df,192.08666666666664,16,glucose,delta
max df stderr,1.2396457716762825e-05,16,glucose,delta
max df std,0.00012396457716762826,16,glucose,delta
max df,0.0106576651279205,16,glucose,delta
inverse max df,65.04614797469546,16,glucose,delta
lag time std,0.5013464202626968,17,glucose,delta
lag time,154.6384507985602,17,glucose,delta
max y stderr,9.69480882801236e-05,17,glucose,delta
max y std,0.0009694808828012361,17,glucose,delta
max y,0.18336562681558197,17,glucose,delta
time of max df stderr,0.64198052929976,17,glucose,delta
inverse max df std,0.2755936867257878,17,glucose,delta
inverse max df,65.10822973581435,17,glucose,delta
time of max df std,6.4198052929976,17,glucose,delta
time of max df,227.8566666666666,17,glucose,delta
max df stderr,4.50338986511492e-06,17,glucose,delta
inverse max df stderr,0.02755936867257878,17,glucose,delta
lag time stderr,0.05013464202626968,17,glucose,delta
max df,0.010646266901754582,17,glucose,delta
max df std,4.50338986511492e-05,17,glucose,delta
lag time stderr,0.09761132675807402,18,glucose,delta
lag time,158.07085915726975,18,glucose,delta
max y std,0.001310183182009018,18,glucose,delta
max y,0.1848655034477136,18,glucose,delta
inverse max df stderr,0.03712939017828638,18,glucose,delta
inverse max df std,0.37129390178286376,18,glucose,delta
inverse max df,65.89924496857363,18,glucose,delta
