parameter,value,well_id,carbon,strain
max df,0.029025576030384456,63,LB,manuel_delta
lag time std,0.7221089374078586,63,LB,manuel_delta
lag time,84.07861130550069,63,LB,manuel_delta
max y stderr,0.00042458666294845104,63,LB,manuel_delta
max y std,0.004245866629484511,63,LB,manuel_delta
max y,0.3054917304705896,63,LB,manuel_delta
inverse max df stderr,0.020637925143499606,63,LB,manuel_delta
lag time stderr,0.07221089374078586,63,LB,manuel_delta
inverse max df,23.882347975331864,63,LB,manuel_delta
time of max df stderr,0.0,63,LB,manuel_delta
time of max df std,0.0,63,LB,manuel_delta
time of max df,146.16666666666666,63,LB,manuel_delta
max df stderr,2.5065326429675633e-05,63,LB,manuel_delta
max df std,0.00025065326429675634,63,LB,manuel_delta
inverse max df std,0.20637925143499605,63,LB,manuel_delta
max df std,0.00022526524742781418,64,LB,manuel_delta
max df stderr,2.2526524742781417e-05,64,LB,manuel_delta
time of max df,146.02666666666667,64,LB,manuel_delta
time of max df std,0.9800000000000001,64,LB,manuel_delta
time of max df stderr,0.098,64,LB,manuel_delta
inverse max df,23.618070388251127,64,LB,manuel_delta
max y,0.3124996700125923,64,LB,manuel_delta
inverse max df stderr,0.018185670444471433,64,LB,manuel_delta
max y std,0.004325463210686976,64,LB,manuel_delta
max y stderr,0.00043254632106869763,64,LB,manuel_delta
lag time,84.11329462448653,64,LB,manuel_delta
max df,0.029349905923007437,64,LB,manuel_delta
inverse max df std,0.18185670444471433,64,LB,manuel_delta
lag time std,0.5876231992536235,64,LB,manuel_delta
lag time stderr,0.05876231992536235,64,LB,manuel_delta
lag time stderr,0.11360786468226694,65,LB,manuel_delta
max y std,0.003602287141404223,65,LB,manuel_delta
max y,0.309039292815792,65,LB,manuel_delta
inverse max df stderr,0.033367665719197456,65,LB,manuel_delta
inverse max df std,0.3336766571919746,65,LB,manuel_delta
inverse max df,23.89986861213219,65,LB,manuel_delta
time of max df stderr,0.1899052395275075,65,LB,manuel_delta
time of max df std,1.899052395275075,65,LB,manuel_delta
time of max df,152.60666666666665,65,LB,manuel_delta
max df stderr,4.040855098393092e-05,65,LB,manuel_delta
max df std,0.0004040855098393092,65,LB,manuel_delta
max df,0.029007774287304243,65,LB,manuel_delta
lag time std,1.1360786468226693,65,LB,manuel_delta
max y stderr,0.0003602287141404223,65,LB,manuel_delta
lag time,90.32482732899969,65,LB,manuel_delta
lag time std,0.8620913513638551,66,LB,manuel_delta
lag time stderr,0.0862091351363855,66,LB,manuel_delta
max df std,0.00034418692731280875,66,LB,manuel_delta
max df stderr,3.4418692731280875e-05,66,LB,manuel_delta
time of max df,145.25666666666666,66,LB,manuel_delta
time of max df std,2.3541240409120325,66,LB,manuel_delta
time of max df stderr,0.23541240409120326,66,LB,manuel_delta
max df,0.028843171179929315,66,LB,manuel_delta
inverse max df std,0.28620021306541155,66,LB,manuel_delta
inverse max df stderr,0.028620021306541156,66,LB,manuel_delta
max y,0.3061922161606182,66,LB,manuel_delta
max y std,0.004574694946598305,66,LB,manuel_delta
max y stderr,0.00045746949465983046,66,LB,manuel_delta
lag time,83.14305249004912,66,LB,manuel_delta
inverse max df,24.03500181366899,66,LB,manuel_delta
lag time,84.98225913626767,67,LB,manuel_delta
max y stderr,0.0007072315708245519,67,LB,manuel_delta
max y std,0.007072315708245519,67,LB,manuel_delta
max y,0.31274478206444606,67,LB,manuel_delta
inverse max df stderr,0.031162116239323245,67,LB,manuel_delta
max df,0.02752698205747603,67,LB,manuel_delta
inverse max df,25.184504017329722,67,LB,manuel_delta
time of max df stderr,0.1899052395275075,67,LB,manuel_delta
time of max df,146.72666666666666,67,LB,manuel_delta
max df stderr,3.40874733841296e-05,67,LB,manuel_delta
max df std,0.000340874733841296,67,LB,manuel_delta
inverse max df std,0.31162116239323245,67,LB,manuel_delta
time of max df std,1.899052395275075,67,LB,manuel_delta
lag time stderr,0.10153102180288445,67,LB,manuel_delta
lag time std,1.0153102180288445,67,LB,manuel_delta
lag time stderr,0.10505246890323783,68,LB,manuel_delta
lag time,88.22719108426962,68,LB,manuel_delta
max y stderr,0.000593534103032714,68,LB,manuel_delta
max y std,0.00593534103032714,68,LB,manuel_delta
max y,0.3161326681447305,68,LB,manuel_delta
inverse max df stderr,0.028533198835604724,68,LB,manuel_delta
inverse max df std,0.28533198835604723,68,LB,manuel_delta
inverse max df,25.156467676421162,68,LB,manuel_delta
time of max df stderr,0.12104131526053408,68,LB,manuel_delta
time of max df std,1.2104131526053408,68,LB,manuel_delta
time of max df,146.23666666666665,68,LB,manuel_delta
max df stderr,3.1248133811945414e-05,68,LB,manuel_delta
max df std,0.0003124813381194541,68,LB,manuel_delta
max df,0.02755698216516813,68,LB,manuel_delta
lag time std,1.0505246890323783,68,LB,manuel_delta
max df,0.02819183229701923,69,LB,manuel_delta
lag time std,0.8157203698524779,69,LB,manuel_delta
max df std,0.00028788050241150835,69,LB,manuel_delta
max df stderr,2.8788050241150835e-05,69,LB,manuel_delta
time of max df,145.60666666666665,69,LB,manuel_delta
time of max df std,1.899052395275075,69,LB,manuel_delta
time of max df stderr,0.1899052395275075,69,LB,manuel_delta
inverse max df,24.58937856001793,69,LB,manuel_delta
inverse max df std,0.251706912787735,69,LB,manuel_delta
inverse max df stderr,0.0251706912787735,69,LB,manuel_delta
max y,0.31431164320601246,69,LB,manuel_delta
max y std,0.005086165624776616,69,LB,manuel_delta
max y stderr,0.0005086165624776616,69,LB,manuel_delta
lag time,82.75690638024761,69,LB,manuel_delta
lag time stderr,0.08157203698524779,69,LB,manuel_delta
lag time,81.5872704420373,70,LB,manuel_delta
max df,0.028276162401921177,70,LB,manuel_delta
max df std,0.0002542881328227843,70,LB,manuel_delta
max df stderr,2.542881328227843e-05,70,LB,manuel_delta
time of max df,143.57666666666665,70,LB,manuel_delta
time of max df std,3.379630157280527,70,LB,manuel_delta
time of max df stderr,0.3379630157280527,70,LB,manuel_delta
inverse max df,24.515463401449278,70,LB,manuel_delta
inverse max df std,0.220418838353332,70,LB,manuel_delta
inverse max df stderr,0.0220418838353332,70,LB,manuel_delta
max y,0.3046756009050667,70,LB,manuel_delta
max y std,0.005436968036531574,70,LB,manuel_delta
max y stderr,0.0005436968036531575,70,LB,manuel_delta
lag time std,0.9239272206040858,70,LB,manuel_delta
lag time stderr,0.09239272206040858,70,LB,manuel_delta
