clock_time,elapsed_time_min,OD_600,run_number,carbon,temperature,operator,date
09h01m,0,0.04,2,acetate,37,O2,20180928
09h01m,0,0.04,2,acetate,37,O2,20180928
09h01m,0,0.04,2,acetate,37,O2,20180928
09h47m,46,0.05,2,acetate,37,O2,20180928
09h47m,46,0.06,2,acetate,37,O2,20180928
09h47m,46,0.06,2,acetate,37,O2,20180928
10h33m,92,0.07,2,acetate,37,O2,20180928
10h33m,92,0.07,2,acetate,37,O2,20180928
10h33m,92,0.07,2,acetate,37,O2,20180928
11h34m,153,0.11,2,acetate,37,O2,20180928
11h34m,153,0.11,2,acetate,37,O2,20180928
11h34m,153,0.11,2,acetate,37,O2,20180928
12h32m,211,0.11,2,acetate,37,O2,20180928
12h32m,211,0.11,2,acetate,37,O2,20180928
12h32m,211,0.12,2,acetate,37,O2,20180928
13h20m,259,0.1,2,acetate,37,O2,20180928
13h20m,259,0.1,2,acetate,37,O2,20180928
13h20m,259,0.1,2,acetate,37,O2,20180928
14h40m,339,0.11,2,acetate,37,O2,20180928
14h40m,339,0.11,2,acetate,37,O2,20180928
14h40m,339,0.11,2,acetate,37,O2,20180928
15h32m,391,0.11,2,acetate,37,O2,20180928
15h32m,391,0.11,2,acetate,37,O2,20180928
15h32m,391,0.11,2,acetate,37,O2,20180928
16h32m,451,0.11,2,acetate,37,O2,20180928
16h32m,451,0.11,2,acetate,37,O2,20180928
16h32m,451,0.11,2,acetate,37,O2,20180928
17h30m,509,0.13,2,acetate,37,O2,20180928
17h31m,510,0.13,2,acetate,37,O2,20180928
17h31m,510,0.13,2,acetate,37,O2,20180928
18h29m,568,0.13,2,acetate,37,O2,20180928
18h29m,568,0.13,2,acetate,37,O2,20180928
18h29m,568,0.13,2,acetate,37,O2,20180928
19h32m,631,0.13,2,acetate,37,O2,20180928
19h32m,631,0.13,2,acetate,37,O2,20180928
19h32m,631,0.13,2,acetate,37,O2,20180928
20h50m,709,0.14,2,acetate,37,O2,20180928
20h50m,709,0.14,2,acetate,37,O2,20180928
20h50m,709,0.14,2,acetate,37,O2,20180928
11h48m,1607,0.25,2,acetate,37,O2,20180929
11h48m,1607,0.25,2,acetate,37,O2,20180929
11h48m,1607,0.25,2,acetate,37,O2,20180929
13h38m,1717,0.27,2,acetate,37,O2,20180929
13h38m,1717,0.27,2,acetate,37,O2,20180929
13h38m,1717,0.27,2,acetate,37,O2,20180929
23h50m,2329,0.31,2,acetate,37,O2,20180929
23h50m,2329,0.31,2,acetate,37,O2,20180929
23h50m,2329,0.31,2,acetate,37,O2,20180929
12h05m,3064,0.33,2,acetate,37,O2,20180930
12h05m,3064,0.33,2,acetate,37,O2,20180930
12h06m,3065,0.33,2,acetate,37,O2,20180930
15h32m,3271,0.32,2,acetate,37,O2,20180930
15h33m,3271,0.32,2,acetate,37,O2,20180930
15h33m,3271,0.32,2,acetate,37,O2,20180930
17h50m,3408,0.33,2,acetate,37,O2,20180930
17h50m,3408,0.33,2,acetate,37,O2,20180930
17h50m,3408,0.33,2,acetate,37,O2,20180930
20h43m,3581,0.35,2,acetate,37,O2,20180930
20h43m,3581,0.35,2,acetate,37,O2,20180930
20h43m,3581,0.35,2,acetate,37,O2,20180930
09h44m,4362,0.35,2,acetate,37,O2,20181001
09h44m,4362,0.35,2,acetate,37,O2,20181001
09h44m,4362,0.35,2,acetate,37,O2,20181001
12h36m,4534,0.36,2,acetate,37,O2,20181001
12h36m,4534,0.36,2,acetate,37,O2,20181001
12h36m,4534,0.36,2,acetate,37,O2,20181001
15h21m,4699,0.37,2,acetate,37,O2,20181001
15h21m,4699,0.37,2,acetate,37,O2,20181001
15h21m,4699,0.38,2,acetate,37,O2,20181001
17h17m,4815,0.38,2,acetate,37,O2,20181001
17h17m,4815,0.38,2,acetate,37,O2,20181001
17h17m,4815,0.38,2,acetate,37,O2,20181001
00h41m,5259,0.37,2,acetate,37,O2,20181002
00h41m,5259,0.37,2,acetate,37,O2,20181002
00h41m,5259,0.38,2,acetate,37,O2,20181002
12h00m,5938,0.37,2,acetate,37,O2,20181002
12h00m,5938,0.37,2,acetate,37,O2,20181002
12h00m,5938,0.37,2,acetate,37,O2,20181002
